student_id ,age ,GENDER,STUDY_HOURS_PER_DAY,SOCIAL_MEDIA_HOURS,netflix_hours ,PART_TIME_JOB,attendance_percentage ,SLEEP_HOURS,diet_quality ,EXERCISE_FREQUENCY,PARENTAL_EDUCATION_LEVEL,INTERNET_QUALITY,mental_health_rating ,EXTRACURRICULAR_PARTICIPATION,EXAM_SCORE,RANDOM_ID
S1000,21.04899381064553,femle,0,0.02905645272177937,4.799805581712784,No,86.15349993571378,7.294122792755106,Fair,6.517918199530201, Master ,,11.789344862338195,Yes,59.19707498442855,9342
S1001,,FEMALE,,3.5399302910757457,3.400654666747559,No,,1.711612420026555,Good,4.408856411018795, High School ,Average,5.43258224651839, No ,98.71831912081804,5360
S1002,,MALE,,10.270434297847784,1.780307416893359,No,92.81306462332174,0.2453070425737236,Poor,-0.477551717,, Poor ,-3.244016924,No,33.361684008150064,9117
S1003,25.350557338023798,  F  ,ten,0.8168277156760557,5.861445725441236, No ,70.6890325749431,4.632657480507504, Poor ,0.5818506435585582, Master ,Good,5.0006878604708,Yes,27.830878481003612,2436
S1004,17.937753615063382, FEMALE ,ten,5.320886368279911,-0.07750949,No,,5.4664425896840125,Fair,5.1486222117612215,Master,,2.4087245689904266,No,60.68641844260631,7714
S1005,23.193687043559795,male,7.2,0.762741643621653,4.156124163176062,No,82.21234703205609,,Fair,-1.725754748,Master, Average ,4.610437500443726,No,106.43633721471204,1863
S1006,22.062970483205333, femle ,5.6,-0.033796656,-3.916967354,Yes,,-4.759269743, Good ,-3.26687893,Master,Poor,2.1760118354938482,No,93.53752875032704,4953
S1007,,,4.3,-0.912869673,3.373846527289507,Yes,76.04192555555387,3.109453671639383, Fair ,,Bachelor, Average ,4.307424629547445, No ,365.9279501410585,2313
 S1008 ,, female ,,3.663144065775981,6.903433808578589,No,99.32621751566391,4.4,Good,4.314661539670141,,Good,,No,80.29714769153955,5120
S1009,23.66907496677596,FEMALE,4.8,5.199886985042969,-0.088103334, No ,96.74247428206627,7.054294851537139,Good,2.0723267230275515,Bachelor,,11.48181720921737, Yes ,100.12388342315325,2126
S1010,20.604184568266362,female,4.6,3.5394712428351296,2.8350555912310753, No ,72.17033462659892,9.903009966910219,,-1.966436666,, Good ,2.3187261703022637,No,60.37042324362844,4464
S1011,26.73314191679879, mle ,ten,1.6486373203540392,2.76402809864291,,73.50304013690786,5.108771078138422,Fair,5.497982698172246, Bachelor ,Average,0.20437248655193785,No,67.94538392584553,6424
